ID#,Hostname,Location,NetID,Serial Number,Manufacturer,Model,Operating System,IP Address,MAC Address
161,VERA-58244,Daimler Sub,vera-58244\root, 8 C C 9 5 0 4 C 5 1         , H P                         , H P   E l i t e D e s k   7 0 5   G 4   D M   6 5 W     ,Windows 10,10.207.134.23 ,E8-D8-D1-3F-C9-E3|80-32-53-8C-97-2C|80-32-53-8C-97-2D|82-32-53-8C-97-2C
162,X25H-58244,Daimler Sub,x25h-58244\root, C Z C 0 0 8 8 5 M X         , H P                         , H P   Z 4   G 4   W o r k s t a t i o n     ,Windows 10,172.31.0.1|10.207.134.19 ,9C-7B-EF-41-57-56|9C-7B-EF-41-57-57
163,SEHOPC,Daimler Sub,sehopc\sehosupport,,Bernecker + Rainer  Industrie-Elektronik,APC910,Windows 7,172.16.0.1|172.16.0.2|10.207.132.128,AA-BB-CC-DD-EE-01|00-60-65-39-76-D9|00-13-95-22-C3-8B
164,FA1-STA-1,Daimler Sub,fa1-sta-1\microbase, T o   b e   f i l l e d   b y   O . E . M .   , T o   b e   f i l l e d   b y   O . E . M .  , T o   b e   f i l l e d   b y   O . E . M .    ,Windows 7,10.207.132.126 ,00-0B-AB-B3-86-D4|00-0B-AB-B3-60-A4
165,DESKTOP-89CM9MA,Conformal Coat,desktop-89cm9ma\conformalcoatmanual, C X N 3 X 5 2               , D e l l   I n c .           ,I n s p i r o n   3 2 5 2     ,Windows 10,10.207.134.34 ,64-00-6A-15-E3-63|4C-BB-58-DA-5A-7A|4E-BB-58-DA-5A-7A|4C-BB-58-DA-5A-7B
166,CC-Line-2-Scan-Out,Conformal Coat,cc-line-2-scan-\ccinsp2, 3 C Z 4 8 7 2               , D e l l   I n c .           , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10,10.207.128.105 ,48-4D-7E-9A-67-B3|90-CD-B6-0B-6B-96
167,PVA-W6188,Conformal Coat,pva-w6188\pva, H F H 1 C 4 2               , D e l l   I n c .     , O p t i P l e x   X E 2     ,Windows 7,100.100.100.100|10.207.132.129 ,A0-36-9F-6C-92-1B|A0-36-9F-6C-92-1A|98-90-96-BD-5F-25
168,PVA-W6187a,Conformal Coat,pva-w6187a\pva, G W C T B 4 2               , D e l l   I n c .           , O p t i P l e x   X E 2     ,Windows 7,100.100.100.100|10.207.128.9 ,A0-36-9F-5C-DE-EE|A0-36-9F-5C-DE-EF|98-90-96-BD-71-62
169,CC-Line-2-Scan-In,Conformal Coat,cc-line-2-scan-\production pc,                             , D e l l   I n c .           , I n s p i r o n   2 0   M o d e l   3 0 4 3     ,Windows 10,10.207.128.132 ,4C-BB-58-F2-76-5F|1E-BB-58-F2-76-5F|2E-BB-58-F2-76-5F|20-47-47-70-33-3D|4C-BB-58-F2-76-60
170,CC-Line-4-Scan-Out,Conformal Coat,cc-line-4-scan-\delphi, 7 W H M R R 2               , D e l l   I n c .           , O p t i P l e x   3 0 5 0     ,Windows 10,10.207.135.84 ,B8-85-84-A2-51-9E
171,PVA-W6533,Conformal Coat,pva-w6533\pva,,Dell Inc.,OptiPlex XE1,Windows 7,100.100.100.100|10.207.135.66,A0-36-9F-B3-5C-1D|18-66-DA-25-0C-3B
172,PVA-W6532,Conformal Coat,pva-w6532\pva,,Dell Inc.,OptiPlex XE2,Windows 7,100.100.100.100|10.207.135.59,A0-36-9F-9B-39-95|A0-36-9F-9B-39-94
173,CC-Line-4-Scan-In,Conformal Coat,cc-line-4-scan-\delphi, 7 W K G R R 2               , D e l l   I n c .           , O p t i P l e x   3 0 5 0     ,Windows 10,10.207.135.143 ,B8-85-84-A2-52-6E
174,Computer Removed,Conformal Coat,Computer Removed,Computer Removed,Computer Removed,Computer Removed,Computer Removed,Computer Removed,Computer Removed
175,DESKTOP-22T45SO,Conformal Coat,desktop-22t45so\conformal, 2 D R 0 D D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.21 ,18-66-DA-1C-AD-41
176,PVA-W4669,Conformal Coat,pva-w4669\delp2872, H D 1 T 0 R 1               , D e l l   I n c .           , O p t i P l e x   3 9 0     ,Windows 7,10.207.128.35|192.168.16.100|100.100.100.100 ,68-05-CA-00-F6-FA|00-1B-21-C6-E0-5B|D0-67-E5-02-8E-D3
177,PVA3-W4668,Conformal Coat,pva3-w4668\pva, H C T V 0 R 1               , D e l l   I n c .           , O p t i P l e x   3 9 0     ,Windows 7,10.207.128.34|192.168.11.1|100.100.100.100 ,68-05-CA-00-F6-66|00-1B-21-C6-E0-6C|D0-67-E5-0B-44-2B
178,DESKTOP-TG2LQPS,Conformal Coat,desktop-tg2lqps\conformal, 2 G S 1 D D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.63,18-66-DA-1C-76-A2
179,DESKTOP-3CNM9HE,Conformal Coat,desktop-3cnm9he\borgwarner1,                             , D e l l   I n c .           , I n s p i r o n   2 0   M o d e l   3 0 4 3     ,Windows 10, ,20-47-47-73-28-DD|1A-E2-44-A3-4A-5D|2A-E2-44-A3-4A-5D|48-E2-44-A3-4A-5D
180,i3070SGH533RCON,Conformal Coat,i3070SGH533RCON\user,,Hewlett-Packard,HP rp5800,Windows 7,10.3.112.10|10.207.128.8,68-05-CA-39-E9-92|EC-B1-D7-43-BC-27
181,i3070SGH112PVZY,Conformal Coat,I3070SGH112PVZY\user,S G H 1 1 2 P V Z Y,H e w l e t t - P a c k a r d,H P   r p 5 7 0 0   B u s i n e s s   S y s t e m,Windows XP,10.3.112.10|10.207.128.30,00-10-18-80-EB-EE|00-23-24-2D-F2-93
182,i3070SGH533RC0N,Conformal Coat,i3070SGH533RC0N\operator, S G H 5 3 3 R C 0 N         , H e w l e t t - P a c k a r d     , H P   r p 5 8 0 0     ,Windows 7,10.3.112.10|10.207.128.8 ,68-05-CA-39-E9-92|EC-B1-D7-43-BC-27
183,i3070SGH223TKMH,Conformal Coat,i3070SGH223TKMH\operator, S G H 2 2 3 T K M H         , H e w l e t t - P a c k a r d     , H P   r p 5 7 0 0   B u s i n e s s   S y s t e m     ,Windows 7,10.3.112.10|10.207.128.31 ,00-10-18-B1-F5-90|78-E3-B5-D1-62-E3
184,DESKTOP-BT3ZMD2,Conformal Coat,desktop-bt3zmd2\operator, B T 3 Z M D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.110 ,18-66-DA-43-09-24
185,DESKTOP-RCVTQ8B,Conformal Coat,desktop-rcvtq8b\fisstation, B T 5 4 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.240 ,18-66-DA-43-9C-70
186,PrsUser-HP,Conformal Coat,prsuser-hp\fisprs, M X L 2 5 1 0 M H H         , H e w l e t t - P a c k a r d     , H P   C o m p a q   E l i t e   8 3 0 0   S F F     ,Windows 7,10.207.128.71 ,B4-B5-2F-D4-BA-DA
187,WSINSP5,Handplace West,wsinsp5\paperless_desk_one, B T 4 2 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.47 ,18-66-DA-43-9D-81
188,AOI-XXXX,Handplace West,aoi-xxxx\aoi, M X L 9 1 0 1 Y 8 8         , H P                         , H P   Z 4   G 4   W o r k s t a t i o n     ,Windows 10,10.207.128.249,C8-D9-D2-05-0D-A5|C8-D9-D2-05-0D-A4
189,S013B-17I0032,Handplace West,s013b-17i0032\bediener, P C 0 H T Z 5 H             , L E N O V O                 , 1 0 F X S 2 5 Y 0 0     ,Windows 10,129.202.101.2|10.207.128.115,1C-66-6D-94-CA-15|68-05-CA-47-99-19
190,AOI-2090,Handplace West,aoi-2090\aoi, T o   B e   F i l l e d   B y   O . E . M .     , T o   B e   F i l l e d   B y   O . E . M .     , T o   B e   F i l l e d   B y   O . E . M .     ,Windows 10,10.207.128.246 ,D0-50-99-D2-A0-77|D0-50-99-D2-A0-78
191,DESKTOP-79UJD4S,Handplace West,desktop-79ujd4s\ersafrontofline, B T 3 4 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.190,18-66-DA-42-F7-5E
192,DESKTOP-B4PMR50,Handplace West,desktop-b4pmr50\delphi, 3 W 1 X Y H 2               , D e l l   I n c .           , I n s p i r o n   2 2 - 3 2 6 5     ,Windows 10,,"50-9A-4C-32-D8-FC,CC-2F-71-F6-45-1E,CC-2F-71-F6-45-1F|CC-2F-71-F6-45-22"
193,DESKTOP-BN7UIEH,Handplace West,desktop-bn7uieh\ersapc, 2 F D B Z H 2               , D e l l   I n c .           , I n s p i r o n   2 2 - 3 2 6 5     ,Windows 10,,8C-EC-4B-47-31-DB|44-03-2C-39-04-5E|44-03-2C-39-04-5F|44-03-2C-39-04-62
194,DESKTOP-R01RJMP,Handplace West,desktop-r01rjmp\delphi, H 8 5 W Y H 2               , D e l l   I n c .           , I n s p i r o n   2 2 - 3 2 6 5     ,Windows 10, ,50-9A-4C-2B-37-9E|CC-2F-71-23-79-D1|CC-2F-71-23-79-D2|CC-2F-71-23-79-D5
195,DESKTOP-SHO2K2K,Handplace West,desktop-sho2k2k\sticklead5, D e f a u l t   s t r i n g     , A Z W                       , U 5 5         ,Windows 10,10.207.128.41 ,50-2F-9B-5F-B8-33|50-2F-9B-5F-B8-34|52-2F-9B-5F-B8-33|5C-85-7E-4F-87-5E|50-2F-9B-5F-B8-37
196,AOI-29D9,Handplace West,aoi-29d9\aoi, 2 U A 8 2 8 2 9 D 9         , H P                         , H P   Z 4   G 4   W o r k s t a t i o n     ,Windows 10,10.207.128.182 ,18-60-24-B2-36-0B|18-60-24-B2-36-0A
197,DESKTOP-MLVIM3F,Handplace West,desktop-mlvim3f\ersa1paperless, 4 T J L 4 Z 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,10.207.132.75 ,E4-54-E8-9B-78-CC
198,DESKTOP-EJCO2O5,Handplace West,desktop-ejco2o5\ersa, S 4 G K 8 6 8 0             , L E N O V O                 , 1 0 M L S 2 X L 0 0     ,Windows 10,10.207.128.27|129.202.101.2 ,FC-34-97-1E-79-14|F4-93-9F-EC-34-15
199,AOI-2093,Handplace West,aoi-2093\aoi, T o   B e   F i l l e d   B y   O . E . M .     , T o   B e   F i l l e d   B y   O . E . M .     , T o   B e   F i l l e d   B y   O . E . M .     ,Windows 10,10.207.128.73 ,D0-50-99-D2-A1-0D|D0-50-99-D2-A1-0E
200,DESKTOP-Q8TM3UQ,Handplace West,desktop-q8tm3uq\ersa pc, B T 7 5 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,,18-66-DA-43-9F-90
201,ERSA_WI1,Handplace West,ersa_wi1\delphi, B T 5 5 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,,18-66-DA-43-A2-E1
202,ERSA_WI_2,Handplace West,ersa_wi_2\delphi, B T 4 X M D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,,18-66-DA-43-9C-9C
203,DESKTOP-LRRQHGT,Handplace West,desktop-lrrqhgt\workinstructionsph1, 7 3 S C 8 7 2               , D e l l   I n c .           , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10,,48-4D-7E-A4-A2-6A|94-53-30-BD-BE-81|16-53-30-BD-BE-81|94-53-30-BD-BE-82
204,ERSA_PRS_1,Handplace West,ersa_prs_1\ersa prs, H 2 0 T 9 Z 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,10.207.128.136 ,E4-54-E8-6D-B3-2E
205,WINDOWS-0J0M78T,Handplace West,windows-0j0m78t\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.132.73 ,00-0B-AB-85-77-97|00-0B-AB-85-77-96
206,LEBSticklead,Handplace West,,                   , I N T E L R                 , A W R D A C P I     ,Windows XP,10.207.128.219,00-0B-AB-3A-50-0A
207,SAYAKA-NJ1287,Handplace West,,, I N T E L R                 , A W R D A C P I     ,Windows XP,,00-03-1D-08-2D-94|00-03-1D-08-2D-93
208,X3-53118,Handplace West,x3-53118\root, 4 0 0 5 0 6                 , S u p e r m i c r o         , X 1 0 S R i - F     ,Windows 10,10.207.128.45|172.31.0.1 ,0C-C4-7A-DC-B8-28|0C-C4-7A-DC-B8-29
209,VERA-58xyk,Handplace West,vera-58xyk\root, 4 0 9 9 0 4                 , S u p e r m i c r o         , X 1 0 S R i - F     ,Windows 10,10.207.128.87 ,AC-1F-6B-02-22-D8|AC-1F-6B-02-22-D9
210,YesTechAOI-1RXX,Handplace West,yestechaoi-1rxx\yestech,,,,Windows 7,10.207.128.156,50-65-F3-44-55-DD
211,DFVBTF82,Handplace West,dfvbtf82\adminpillar, F V B T F 8 2               , D e l l   I n c .           , O p t i P l e x   X E 2     ,Windows 8,,64-00-6A-63-54-A3
212,DFV7TM62,Handplace West,dfv7tm62\adminpillar, F V 7 T M 6 2               , D e l l   I n c .           , O p t i P l e x   X E 2     ,Windows 8, ,64-00-6A-63-5E-F1
213,TTTSL4,Handplace West,tttsl4\cimplecell, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.128.93,00-0B-AB-97-0C-67|00-0B-AB-97-0C-66
214,Computer not Responding,Handplace West,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding
215,Computer not Responding,Handplace West,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding
216,WINDOWS-KOU4M9F,Handplace West,windows-kou4m9f\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7, ,00-0B-AB-C8-FF-BB|00-0B-AB-CB-07-70
217,YesYechAOI-07LN,Handplace East,yesyechaoi-07ln\yesyech aoi-07ln, B T 5 2 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 7,10.207.128.184 ,EC-B1-D7-5B-B4-FA
218,SL2PAPERLESS,Handplace East,sl2paperless\smallconformalcoat,,,,Windows 10,10.207.128.242,18-66-DA-43-09-35
219,elite,Handplace East,,          ,                     ,    ,Windows XP,10.10.10.2,00-30-18-B0-5A-53
220,TTTSL2,Handplace East,,                             ,,,Windows XP,10.207.128.120,00-80-4C-44-0D-9F
221,DESKTOP-QB00K62,Handplace East,desktop-qb00k62\stickleadworkinstruc, 3 7 K 5 8 7 2               , D e l l   I n c .           , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10,,48-4D-7E-9E-6D-07|90-CD-B6-0A-94-65|12-CD-B6-0A-94-65|90-CD-B6-0A-94-66
222,Computer not Responding,Handplace East,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding,Computer not Responding
223,DESKTOP-9E1DVLU,Handplace East,desktop-9e1dvlu\kmsfis, F Q R C 8 7 2               , D e l l   I n c .           , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10,,48-4D-7E-A4-A3-4D|16-53-30-BD-EF-FD|94-53-30-BD-EF-FD|94-53-30-BD-EF-FE
224,DESKTOP-NELUF8G,Handplace East,desktop-neluf8g\workinstructionone, J 8 S C 8 7 2               , D e l l   I n c .           , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10, ,48-4D-7E-A4-A2-A9|94-53-30-BE-03-47|16-53-30-BE-03-47|94-53-30-BE-03-48
225,DESKTOP-J53PN1K,Handplace East,desktop-j53pn1k\borgwarner, M P 1 0 R F K 4             , L E N O V O                 , F 0 B F 0 0 1 6 U S     ,Windows 10,10.207.128.20 ,1C-39-47-29-62-D4|32-52-CB-6A-B9-F7|42-52-CB-6A-B9-F7|30-52-CB-6A-B9-F7|30-52-CB-6A-B9-F8
226,kmsmfg0025,Handplace East,kmsmfg0025\delphi, B T 7 4 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.69 ,18-66-DA-43-9C-05
227,WAVSOLDER-L1-PRS,Handplace East,wavsolder-l1-pr\paperless_desk_one, B T 5 3 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.104 ,18-66-DA-42-FC-1E
228,YesTechAOI-07LS,Handplace East,yestechaoi-07ls\yestech, M X L 5 3 9 0 7 L S         , H e w l e t t - P a c k a r d     , H P   E l i t e D e s k   8 0 0   G 1   T W R     ,Windows 7,10.207.128.183 ,EC-B1-D7-60-62-16
229,elite,Handplace East,,                             ,        ,           ,Windows XP,10.10.10.2,00-30-18-A2-99-A9
230,TTTSL1,Handplace East,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.128.83,00-80-4C-A4-83-04
231,SMT Camera Monitor,Handplace East,,,,,,,
232,DESKTOP-AP5OTQK,Handplace East,desktop-ap5otqk\sticklead line1, 9 0 H C 8 7 2               , D e l l   I n c .           , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10, ,48-4D-7E-A3-66-CC|12-CD-B6-0A-F5-19|90-CD-B6-0A-F5-19|90-CD-B6-0A-F5-1A
233,DESKTOP-0II4HCE,Handplace East,desktop-0ii4hce\stick lead line 1, G R R C 8 7 2               , D e l l   I n c .   , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10,,48-4D-7E-A4-A1-25|94-53-30-BE-1E-99|16-53-30-BE-1E-99|94-53-30-BE-1E-9A
234,TPIMVIPERSL1,Handplace East,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.128.158,00-80-4C-A4-8A-7A
235,DESKTOP-K0D396L,SMT West,desktop-k0d396l\smtmicroscope, M X L 2 0 2 3 P 0 Q         , H P                         , H P   Z 2   G 8   S F F   W o r k s t a t i o n   D e s k t o p   P C     ,Windows 10,10.207.128.162,00-68-EB-9D-0C-02
236,DESKTOP-PDEA66V,SMT West,desktop-pdea66v\maint feeder repair,7 B G Z 2 W 2               ,D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,,6C-2B-59-E5-B7-AB
237,LBL_PrintStatio,SMT West,lbl_printstatio\lbl_printstation_4, G N K H R D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 7,10.207.128.230 ,18-66-DA-39-F5-48
238,kmsmtslsb,SMT West,,          ,    ,   ,Windows XP,10.207.128.102,00-13-72-23-75-2A
239,AP-SL-00883R,SMT West,ap-sl-00883r\kohyoung, 6 C R 7 2 4 W 1 1 3         , H P                         , H P   Z 2 4 0   T o w e r   W o r k s t a t i o n     ,Windows 7,10.207.128.122 ,C8-D3-FF-BB-81-7F
240,AP-SL-00883,SMT West,ap-sl-00883\z840, 6 C R 7 2 3 W Y P D         , H e w l e t t - P a c k a r d     , H P   Z 8 4 0   W o r k s t a t i o n     ,Windows 7,10.207.128.121|192.168.240.2 ,A0-8C-FD-F0-49-67|A0-8C-FD-F0-49-66
241,ASYS31108443846,SMT West,asys31108443846\administrator,,FUJITSU,D2836-S1,,10.10.10.2|10.207.128.201,00-19-99-B8-35-A7|00-19-99-B8-35-A8
242,ITWEAE204-03,SMT West,itweae204-03\machine, _                           , _                           , _             ,Windows 7,10.10.10.2 ,00-30-18-09-A8-E6
243,ERSA_3,SMT West,ersa_3\delphi, 7 W J H R R 2               , D e l l   I n c .           , O p t i P l e x   3 0 5 0     ,Windows 10,10.207.128.157 ,B8-85-84-A2-53-88
244,SR128_154,SMT West,sr128_154\operator, B 9 8 5 4 3 6 4             , S I E M E N S   A G         , S I M A T I C   B O X   P C   6 2 7 B / P A N E L   P C   6 7 7 B   P r o f i b u s     ,Windows 7,10.207.128.154 ,00-1B-1B-08-95-CE|00-1B-1B-08-95-CF
245,SR128_153,SMT West,sr128_153\operator, B 9 8 5 4 3 6 1             , S I E M E N S   A G         , S I M A T I C   B O X   P C   6 2 7 B / P A N E L   P C   6 7 7 B   P r o f i b u s     ,Windows 7,10.207.128.153 ,00-1B-1B-08-95-C8|00-1B-1B-08-95-C9
246,SR128_152,SMT West,sr128_152\operator, B 9 8 5 4 3 4 2             , S I E M E N S   A G         , S I M A T I C   B O X   P C   6 2 7 B / P A N E L   P C   6 7 7 B   P r o f i b u s     ,Windows 7,10.207.128.152 ,00-1B-1B-08-9D-34|00-1B-1B-08-9D-35
247,SR128_151,SMT West,sr128_151\operator, 2 0 1 2 0 6 2 3 7 4         ,                             , A B P 4 0 2 - A ( S X )     ,Windows 10,10.207.128.151 ,00-03-2D-4C-B2-53|00-03-2D-4C-B2-52
248,5P2NCV2,SMT West,5p2ncv2\mso_fvs, 5 P 2 N C V 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 7,10.207.128.25 ,6C-2B-59-C8-50-3C
249,ASPI-AL252,SMT West,aspi-al252\spi, D e f a u l t   s t r i n g     , D e f a u l t   s t r i n g     , D e f a u l t   s t r i n g     ,Windows 7,10.207.128.191 ,C4-00-AD-4A-11-88|C4-00-AD-4A-11-89
250,DEK_305663,SMT West,dek_305663\dek printer, O E M                       , O E M                       , O E M         ,Windows 7,10.207.128.99 ,00-01-29-02-CC-6D
251,DESKTOP-6MPGQF8,SMT West,desktop-6mpgqf8\mts, D e f a u l t   s t r i n g     , A Z W                       , U 5 5         ,Windows 10,10.207.128.74 ,5C-85-7E-4F-98-45
252,SXLINE4-WIN10,SMT West,sxline4-win10\supervisor, 5 P 1 S C V 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,10.207.128.150 ,6C-2B-59-C8-32-37
253,SR128_129,SMT West,sr128_129\operator, B 2 8 5 3 9 3 8             , S I E M E N S   A G         , S I M A T I C   B O X   P C   6 2 7 B / P A N E L   P C   6 7 7 B   P r o f i b u s     ,Windows 7,10.207.128.129,00-0E-8C-EB-48-4C|00-0E-8C-EB-48-4D
254,SR128_128,SMT West,sr128_128\operator, D N 9 5 5 3 9 3             , S I E M E N S   A G         , S I M A T I C   I P C 6 2 7 C   P R O F I B U S     ,Windows 7,10.207.128.128,00-1B-1B-81-C1-48|00-1B-1B-81-68-91
255,SR128_127,SMT West,sr128_127\operator, B 5 8 5 6 6 4 1             , S I E M E N S   A G         , S I M A T I C   B O X   P C   6 2 7 B / P A N E L   P C   6 7 7 B   P r o f i b u s     ,Windows 7,10.207.128.127,00-0E-8C-EC-0A-93|00-0E-8C-EC-0A-94
256,SR128_126,SMT West,sr128_126\operator, B 2 8 5 3 9 3 9             , S I E M E N S   A G         , S I M A T I C   B O X   P C   6 2 7 B / P A N E L   P C   6 7 7 B   P r o f i b u s     ,Windows 7,10.207.128.126,00-0E-8C-EB-48-58|00-0E-8C-EB-48-59
257,AP-SL-00885R,SMT West,ap-sl-00885r\kohyoung, 6 C R 7 2 4 W 1 1 9         , H P                         , H P   Z 2 4 0   T o w e r   W o r k s t a t i o n     ,Windows 7,10.207.128.149 ,C8-D3-FF-B6-D2-0B
258,AP-SL-00885,SMT West,ap-sl-00885\z840, 6 C R 7 2 3 W Y P J         , H e w l e t t - P a c k a r d     , H P   Z 8 4 0   W o r k s t a t i o n     ,Windows 7,10.207.128.148|192.168.240.2 ,A0-8C-FD-F0-49-11|A0-8C-FD-F0-49-10
259,ASYS33921640094,SMT West,asys33921640094\administrator,,EXTRA Computer GmbH,D3236-S1,Windows 7,10.10.10.2|10.207.128.135,68-05-CA-90-73-3A|4C-52-62-11-6E-35
260,ITWEA204-03,SMT West,itweae204-03\machine,,_,_,Windows 7,10.10.10.2,00-30-18-09-A8-40
261,5P2MCV2,SMT West,5p2mcv2\mso_fvs, 5 P 2 M C V 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,10.207.128.66 ,6C-2B-59-C8-37-B7
262,ASPI-AL199,SMT West,aspi-al199\spi, D e f a u l t   s t r i n g     , D e f a u l t   s t r i n g     , D e f a u l t   s t r i n g     ,Windows 7,10.207.128.134 ,C4-00-AD-4B-16-EA|C4-00-AD-4B-16-EB
263,DEK_304046,SMT West,dek_304046\dek printer, T o   b e   f i l l e d   b y   O . E . M .     , D F I   I n c .             , H D 3 3 0 - H 8 1 C     ,Windows 7,,00-01-29-87-16-D7|00-01-29-87-16-D6
264,DESKTOP-GIQ7C5F,SMT East,desktop-giq7c5f\delphi,,,,Windows 10,10.207.128.119 ,18-66-DA-43-00-95
265,SXLINE3-WIN10,SMT East,sxline3-win10\supervisor, 5 P 2 P C V 2               , D e l l   I n c .           , O p t i P l e x   3 0 6 0     ,Windows 10,10.207.128.130 ,6C-2B-59-C8-4F-D3
266,TO220_1_AOI,SMT East,to220_1_aoi\user, D e f a u l t   s t r i n g     , D e f a u l t   s t r i n g     , D e f a u l t   s t r i n g     ,Windows 7,10.207.128.186 ,00-0B-AB-E5-D7-86|00-0B-AB-E5-D7-85
267,DESKTOP-25JT1JM,SMT East,desktop-25jt1jm\smt line 1, H H T 9 7 7 2               , D e l l   I n c .           , I n s p i r o n   2 0 - 3 0 5 2     ,Windows 10,10.207.128.94 ,44-1C-A8-32-2B-AF|16-1C-A8-32-2B-AF|26-1C-A8-32-2B-AF|F4-8E-38-8D-1D-71|44-1C-A8-32-2B-B0
268,Delphi-PC-PC,SMT East,delphi-pc-pc\delphi-pc, 3 7 H J N S 1               , D e l l   I n c .           , O p t i P l e x   3 9 0     ,Windows 7,10.207.128.236 ,D4-BE-D9-D8-96-45
269,DESKTOP-F21AFSV,SMT East,desktop-f21afsv\delphi, B T 7 1 N D 2               , D e l l   I n c .           , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.128.115,18-66-DA-43-9C-E3
270,Maintenance-PC,SMT East,maintenance-pc\maintenance, F S F T L Q 1               , D e l l   I n c .           , L a t i t u d e   E 5 4 2 0     ,Windows 7,,94-39-E5-4F-A9-37|D0-67-E5-38-F1-65
271,Speedline,SMT East,speedline\machine, T o   b e   f i l l e d   b y   O . E . M .     , G i g a b y t e   T e c h n o l o g y   C o .  L t d .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.10.10.2 ,FC-AA-14-94-D3-2C
272,KMSTO220PLC2-01,SMT East,kmsto220plc2-01\cimplecell, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.128.140|192.168.1.30 ,00-0B-AB-BA-76-4F|00-0B-AB-BA-76-4E
273,KMSTO220PLC1-01,SMT East,, 0 1 2 3 4 5 6 7 8 9, P h o e n i x A w a r d , 9 4 5 G M  ,Windows XP,10.207.128.42,00-80-4C-A4-87-4F
274,KMSTO220DISP-01,SMT East,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.128.39,00-80-4C-A4-87-3E
275,WINDOWS-NUCQ63M,SMT East,windows-nucq63m\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.128.187 ,00-0B-AB-D7-CC-7D|00-0B-AB-D7-BA-41
276,WINDOWS-T66SL80,SMT East,windows-t66sl80\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.129.11 ,00-0B-AB-E1-78-FC|00-0B-AB-E2-8F-E9
277,USER-BC1FEB36F8,SMT East,,                             ,                ,,Windows XP,,
