ID#,Hostname,Location,NetID,Serial Number,Manufacturer,Model,Operating System,IP Address,MAC Address
94,300060-03,Daimler Test,300060-03\administrator, 1 2 3 4 5 6 7 8 9           , D F I   I n c .             , S K L - U L T     ,Windows 7,192.168.2.2|10.207.133.85,00-01-29-AB-2B-BA|00-01-29-AB-2B-B9
95,300060-02,Daimler Test,300060-02\administrator, 1 2 3 4 5 6 7 8 9           , D F I   I n c .             , S K L - U L T     ,Windows 7,192.168.2.2|10.207.133.62  ,00-01-29-AB-2B-5B|00-01-29-AB-2B-5A
96,LBL-VERIFICATION,Daimler Test,lbl-verificatio\productionpc, F N V P W M 1               , D e l l   I n c .           , L a t i t u d e   E 5 4 1 0     ,Windows 7,10.207.130.115 ,C0-CB-38-42-DC-9B|F0-4D-A2-A7-D0-DC
97,DESKTOP-86G4JLP,Daimler Test,desktop-86g4jlp\daimler_oven_in,,,,Windows 10,10.207.135.63 ,FC-01-7C-52-DE-A3|D8-9E-F3-8C-8F-6C|FC-01-7C-52-DE-A4
98,DESKTOP-Q3U9MLQ,Daimler Test,desktop-q3u9mlq\qualmark, 3 T Z 0 J L 2               , D e l l   I n c .           , O p t i P l e x   5 0 5 0     ,Windows 10,10.207.133.226|121.165.141.154,00-E0-4C-12-17-63|50-9A-4C-15-D2-A3
99,MICROBASE-Daimler,Daimler Test,microbase-daiml\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.133.199 ,00-0B-AB-CB-BB-B0|00-0B-AB-CB-BB-AF
100,WINDOWS-NUCQ63M,Daimler Test,windows-nucq63m\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.133.205 ,00-0B-AB-D7-CB-0B|00-0B-AB-D7-BD-30
101,LineOneCure-PC,Daimler Test,lineonecure-pc\lineonecure, 4 L V P W M 1               , D e l l   I n c .           , L a t i t u d e   E 5 4 1 0     ,Windows 7 ,10.207.134.50 ,C0-CB-38-42-96-A1|F0-4D-A2-A7-D1-93
102,DESKTOP-L0MP09R,Daimler Test,desktop-l0mp09r\fordcurepc, B T 4 5 N D 2    , D e l l   I n c .      , O p t i P l e x   3 0 4 0     ,Windows 10,10.207.135.81 ,18-66-DA-42-FB-B4
103,USER-CAFF570D72,Daimler Test,,                             , I N T E L R                 , A W R D A C P I     ,Windows XP,10.207.134.26,00-0B-AB-34-B0-B7 
104,kmsprg02,Daimler Test,,                             , I N T E L R                 , A W R D A C P I     ,Windows XP,10.207.134.54,00-0B-AB-31-C7-A3|FF-FF-FF-FF-FF-FF-FF-FF|0A-CF-86-36
105,ECDPXI220,Daimler Test,, 0 0 0 0 0 0 0 0 0 0         , N a t i o n a l   I n s t r u m e n t s     , N I   P X I - 8 1 0 6   E m b e d d e d   C o n t r o l l e r     ,Windows XP,192.168.2.2,00-80-2F-11-D4-E5
106,kmshipot01,Daimler Test,,                             , I N T E L R                 , A W R D A C P I     ,Windows XP,10.207.134.53,00-0B-AB-2F-47-68
107,Micro-FA5-STA07,Daimler Test,,                             , I N T E L R                 , A W R D A C P I     ,Windows XP,10.207.134.42,00-0B-AB-31-C7-22
108,Cimple-FA5STA05,Daimler Test,, 0 1 2 3 4 5 6 7 8 9         , P h o e n i x A w a r d     , 9 4 5 G M     ,Windows XP,10.207.134.40,00-80-4C-A4-83-16
